group,movie_imdb_link,Cast FB Likes,name,Actor 1 FB Likes,Number of Voted Users,Director FB Likes,Number of Critic for Reviews,Number of Users for Reviews,Budget,Domestic Gross,Imdb Score
Adventure Action,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,48350,"PiratesoftheCaribbeanAtWorldsEnd, director: Gore Verbinski",40000,471220,563,302,1238,411072313.9,423980566.9,7.1
Adventure Action,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,48486,"PiratesoftheCaribbeanDeadMansChest, director: Gore Verbinski",40000,522040,563,313,1832,318169971,598606131.6,7.3
Adventure Action,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,45757,"TheLoneRanger, director: Gore Verbinski",40000,181792,563,450,711,311925933.2,101293256.6,6.5
Adventure Action,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,54083,"PiratesoftheCaribbeanOnStrangerTides, director: Rob Marshall",40000,370704,252,448,484,302007822.8,291212704.1,6.7
Adventure Fantasy,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,79957,"AliceinWonderland, director: Tim Burton",40000,306320,13000,451,736,249337658.5,416632144.2,6.5
Adventure Fantasy,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1,80806,"AliceThroughtheLookingGlass, director: James Bobin",40000,21352,33,218,131,175440000,79507737.19,6.4
Adventure Fantasy,http://www.imdb.com/title/tt0367594/?ref_=fn_tt_tt_1,57844,"CharlieandtheChocolateFactory, director: Tim Burton",40000,320284,13000,276,1361,218900940,301293905.4,6.7
Horror,http://www.imdb.com/title/tt1077368/?ref_=fn_tt_tt_1,80849,"DarkShadows, director: Tim Burton",40000,199039,13000,526,479,175585943.5,93326444.51,6.2
Animation,http://www.imdb.com/title/tt1192628/?ref_=fn_tt_tt_1,43291,"Rango, director: Gore Verbinski",40000,183208,563,362,337,163084224.3,148899014.7,7.2
Adventure Action,http://www.imdb.com/title/tt0325980/?ref_=fn_tt_tt_1,48184,"PiratesoftheCaribbeanTheCurseoftheBlackPearl, director: Gore Verbinski",40000,809474,563,271,2113,194278962.3,474679805.4,8.1
Drama,http://www.imdb.com/title/tt1152836/?ref_=fn_tt_tt_1,64599,"PublicEnemies, director: Michael Mann",40000,230931,0,357,585,131874687.6,124933087.1,7
Thriller Drama,http://www.imdb.com/title/tt1243957/?ref_=fn_tt_tt_1,55175,"TheTourist, director: Florian Henckel von Donnersmarck",40000,176598,207,321,374,124668829.2,84314971.63,6
Thriller Drama,http://www.imdb.com/title/tt2209764/?ref_=fn_tt_tt_1,54031,"Transcendence, director: Wally Pfister",40000,172707,0,355,462,109910476.8,25303929.59,6.3
Comedy,http://www.imdb.com/title/tt3045616/?ref_=fn_tt_tt_1,42683,"Mortdecai, director: David Koepp",40000,47320,192,181,188,63901440,8196567.417,5.5
Drama,http://www.imdb.com/title/tt1355683/?ref_=fn_tt_tt_1,63769,"BlackMass, director: Scott Cooper",40000,115216,108,391,289,56446272,66644598.89,7
Comedy Family,http://www.imdb.com/title/tt2180411/?ref_=fn_tt_tt_1,62837,"IntotheWoods, director: Rob Marshall",40000,101178,252,321,779,54955238.4,140688017.4,6
Horror,http://www.imdb.com/title/tt0120681/?ref_=fn_tt_tt_1,41636,"FromHell, director: Albert Hughes",40000,124765,117,208,541,57935292.11,52304491.55,6.8
Thriller Drama,http://www.imdb.com/title/tt0363988/?ref_=fn_tt_tt_1,41293,"SecretWindow, director: David Koepp",40000,147504,192,195,531,60241538.69,72226639.5,6.6
Thriller Drama,http://www.imdb.com/title/tt0142688/?ref_=fn_tt_tt_1,42344,"TheNinthGate, director: Roman Polanski",40000,137722,2000,172,638,64914011.87,31865512.87,6.7
Horror,http://www.imdb.com/title/tt0087800/?ref_=fn_tt_tt_1,42918,"ANightmareonElmStreet, director: Wes Craven",40000,149285,0,256,668,43634090.23,78634877.75,7.5
Drama,http://www.imdb.com/title/tt0119008/?ref_=fn_tt_tt_1,56014,"DonnieBrasco, director: Mike Newell",40000,225122,179,117,234,65714618.38,78773046.2,7.8
Thriller Drama,http://www.imdb.com/title/tt0138304/?ref_=fn_tt_tt_1,52621,"TheAstronautsWife, director: Rand Ravich",40000,45497,7,107,260,59939548.64,18814964.38,5.3
Drama,http://www.imdb.com/title/tt0221027/?ref_=fn_tt_tt_1,43453,"Blow, director: Ted Demme",40000,198066,47,147,426,49658821.81,87715315.11,7.6
Action,http://www.imdb.com/title/tt0285823/?ref_=fn_tt_tt_1,46186,"OnceUponaTimeinMexico, director: Robert Rodriguez",40000,130094,0,178,471,45072719.25,87550892.69,6.4
Drama,http://www.imdb.com/title/tt0308644/?ref_=fn_tt_tt_1,58823,"FindingNeverland, director: Marc Forster",40000,174591,395,226,632,37650961.68,77826956.5,7.8
Comedy Drama,http://www.imdb.com/title/tt0112883/?ref_=fn_tt_tt_1,52122,"DonJuanDeMarco, director: Jeremy Leven",40000,41310,19,44,117,49991175.52,44057492.93,6.8
Drama,http://www.imdb.com/title/tt0375920/?ref_=fn_tt_tt_1,42484,"TheLibertine, director: Laurence Dunmore",40000,31433,2,111,260,32105471.2,7056001.824,6.4
Comedy Family,http://www.imdb.com/title/tt0099487/?ref_=fn_tt_tt_1,42330,"EdwardScissorhands, director: Tim Burton",40000,357581,13000,111,588,46814654.5,126345699.9,7.9
Drama,http://www.imdb.com/title/tt0120669/?ref_=fn_tt_tt_1,43105,"FearandLoathinginLasVegas, director: Terry Gilliam",40000,213226,0,156,648,33657819.49,19431068.54,7.7
Comedy Drama,http://www.imdb.com/title/tt0109707/?ref_=fn_tt_tt_1,56585,"EdWood, director: Tim Burton",40000,142416,13000,148,420,37145443.06,12027830.66,7.9
Drama,http://www.imdb.com/title/tt0108550/?ref_=fn_tt_tt_1,69746,"WhatsEatingGilbertGrape, director: Lasse Hallstríë_m",40000,171882,529,80,292,23426392.75,19529548.62,7.8
Drama,http://www.imdb.com/title/tt0091763/?ref_=fn_tt_tt_1,42028,"Platoon, director: Oliver Stone",40000,291603,0,120,505,15930223.41,366297772.8,8.1
Horror,http://www.imdb.com/title/tt0101917/?ref_=fn_tt_tt_1,42002,"FreddysDeadTheFinalNightmare, director: Rachel Talalay",40000,30765,54,91,252,11340759.33,79095066.69,4.9
Horror,http://www.imdb.com/title/tt3838992/?ref_=fn_tt_tt_1,46115,"YogaHosers, director: Kevin Smith",40000,849,0,35,4,5160000,0,4.8
Horror,http://www.imdb.com/title/tt3099498/?ref_=fn_tt_tt_1,43810,"Tusk, director: Kevin Smith",40000,31089,0,254,261,3297314.304,2002550.203,5.4
Animation,http://www.imdb.com/title/tt2974918/?ref_=fn_tt_tt_1,38450,"AlvinandtheChipmunksTheRoadChip, director: Walt Becker",35000,9418,12,70,53,95852160,91471702.44,5
Comedy Drama,http://www.imdb.com/title/tt1086772/?ref_=fn_tt_tt_1,49743,"Blended, director: Frank Coraci",35000,87165,153,173,184,49459714.56,50878374.15,6.5
Comedy Family,http://www.imdb.com/title/tt1698641/?ref_=fn_tt_tt_1,47677,"AlexanderandtheTerribleHorribleNoGoodVeryBadDay, director: Miguel Arteta",35000,29738,44,119,85,30774933.5,73589624.4,6.2
Comedy Drama,http://www.imdb.com/title/tt1666801/?ref_=fn_tt_tt_1,36892,"TheDUFF, director: Ari Sandel",35000,51326,17,132,116,9052704,36243132.02,6.5
Horror,http://www.imdb.com/title/tt1147684/?ref_=fn_tt_tt_1,38121,"ForgetMeNot, director: Tyler Oliver",35000,4866,0,24,38,1570440.678,0,5.2
Adventure Action,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,91434,"XMenDaysofFuturePast, director: Bryan Singer",34000,514125,0,539,752,219820953.6,257104273.4,8
Adventure Action,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,49684,"XMenApocalypse, director: Bryan Singer",34000,148379,0,396,622,183696000,160416648.6,7.3
Adventure Action,http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1,50983,"XMenFirstClass, director: Matthew Vaughn",34000,518537,905,500,698,193285006.6,176865813.7,7.8
Adventure Action,http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1,81385,"TheHungerGamesMockingjayPart, director: Francis Lawrence",34000,166137,508,389,383,170403840,300042717,6.6
Adventure Action,http://www.imdb.com/title/tt1951264/?ref_=fn_tt_tt_1,49355,"TheHungerGamesCatchingFire, director: Francis Lawrence",34000,498397,508,502,706,147455895.7,481690824.9,7.6
Adventure Action,http://www.imdb.com/title/tt1951265/?ref_=fn_tt_tt_1,81385,"TheHungerGamesMockingjayPart, director: Francis Lawrence",34000,305008,508,403,591,170403840,300042717,6.7
Thriller Drama,http://www.imdb.com/title/tt1392170/?ref_=fn_tt_tt_1,49942,"TheHungerGames, director: Gary Ross",34000,701607,378,673,1959,93645836.51,477606282,7.3
Comedy Drama,http://www.imdb.com/title/tt2446980/?ref_=fn_tt_tt_1,75793,"Joy, director: David O. Russell",34000,75329,737,315,256,63901440,60121916.91,6.6
Drama,http://www.imdb.com/title/tt1800241/?ref_=fn_tt_tt_1,83012,"AmericanHustle, director: David O. Russell",34000,358416,737,538,751,45371044.82,170275043.8,7.3
Comedy Drama,http://www.imdb.com/title/tt1045658/?ref_=fn_tt_tt_1,72115,"SilverLiningsPlaybook, director: David O. Russell",34000,533607,737,539,692,24582032.09,154624444.4,7.8
Drama,http://www.imdb.com/title/tt1321860/?ref_=fn_tt_tt_1,34705,"TheBeaver, director: Jodie Foster",34000,39764,0,276,148,25368657.11,1172776.106,6.7
Horror,http://www.imdb.com/title/tt1582507/?ref_=fn_tt_tt_1,35717,"HouseattheEndoftheStreet, director: Mark Tonderai",34000,58366,13,224,160,8076953.399,37004053.97,5.6
Drama,http://www.imdb.com/title/tt1399683/?ref_=fn_tt_tt_1,34446,"WintersBone, director: Debra Granik",34000,111658,81,365,297,2493376.585,8142748.322,7.2
Comedy Drama,http://www.imdb.com/title/tt2234025/?ref_=fn_tt_tt_1,35796,"CoffeeTown, director: Brad Copeland",34000,4204,8,9,19,2268552.241,0,6.6
Drama,http://www.imdb.com/title/tt1014806/?ref_=fn_tt_tt_1,52113,"ThePokerHouse, director: Lori Petty",34000,3943,923,12,24,1286582.318,0,6.5
Drama,http://www.imdb.com/title/tt1758692/?ref_=fn_tt_tt_1,34983,"LikeCrazy, director: Drake Doremus",34000,46813,52,206,150,302007.8228,4101738.573,6.7
Thriller Drama,http://www.imdb.com/title/tt1321870/?ref_=fn_tt_tt_1,34738,"GangsterSquad, director: Ruben Fleischer",33000,173530,181,415,264,68056567.23,52177725.8,6.7
Comedy Drama,http://www.imdb.com/title/tt1570728/?ref_=fn_tt_tt_1,57426,"CrazyStupidLove, director: Glenn Ficarra",33000,375456,43,310,292,60401564.55,101898885.4,7.4
Thriller Drama,http://www.imdb.com/title/tt0264935/?ref_=fn_tt_tt_1,34606,"MurderbyNumbers, director: Barbet Schroeder",33000,43574,58,136,302,80198355.63,51126241.6,6.1
Drama,http://www.imdb.com/title/tt0210945/?ref_=fn_tt_tt_1,54877,"RemembertheTitans, director: Boaz Yakin",33000,160776,132,157,402,51247904.11,197568786.3,7.8
Drama,http://www.imdb.com/title/tt0332280/?ref_=fn_tt_tt_1,34495,"TheNotebook, director: Nick Cassavetes",33000,396396,415,177,1111,45181154.02,121991807.1,7.9
Comedy Drama,http://www.imdb.com/title/tt1596363/?ref_=fn_tt_tt_1,57308,"TheBigShort, director: Adam McKay",33000,182983,285,426,374,29820672,74828447.79,7.8
Drama,http://www.imdb.com/title/tt1124035/?ref_=fn_tt_tt_1,57077,"TheIdesofMarch, director: George Clooney",33000,188652,0,421,288,27784719.69,49484022.83,7.1
Thriller Drama,http://www.imdb.com/title/tt1175709/?ref_=fn_tt_tt_1,39515,"AllGoodThings, director: Andrew Jarecki",33000,41249,46,140,67,24933765.85,725602.5067,6.3
Comedy Drama,http://www.imdb.com/title/tt0486551/?ref_=fn_tt_tt_1,35345,"Beerfest, director: Jay Chandrasekhar",33000,54710,422,91,177,24746553.3,27129553.05,6.3
Drama,http://www.imdb.com/title/tt0780504/?ref_=fn_tt_tt_1,34337,"Drive, director: Nicolas Winding Refn",33000,431578,0,676,1264,18120469.37,42354409.4,7.8
Thriller Drama,http://www.imdb.com/title/tt1817273/?ref_=fn_tt_tt_1,34413,"ThePlaceBeyondthePines, director: Derek Cianfrance",33000,187170,310,417,376,17014141.81,24277500.5,7.3
Comedy Drama,http://www.imdb.com/title/tt0805564/?ref_=fn_tt_tt_1,34351,"LarsandtheRealGirl, director: Craig Gillespie",33000,114762,44,226,299,17128013.08,8161813.388,7.4
Comedy,http://www.imdb.com/title/tt1161418/?ref_=fn_tt_tt_1,34398,"GentlemenBroncos, director: Jared Hess",33000,9006,100,106,54,12222532.02,146261.251,6.1
Drama,http://www.imdb.com/title/tt1602613/?ref_=fn_tt_tt_1,34779,"OnlyGodForgives, director: Nicolas Winding Refn",33000,83234,0,440,475,5444525.379,880026.9939,5.7
Drama,http://www.imdb.com/title/tt0247199/?ref_=fn_tt_tt_1,33441,"TheBeliever, director: Henry Bean",33000,30314,21,84,159,2405950.669,651266.7866,7.2
Drama,http://www.imdb.com/title/tt1120985/?ref_=fn_tt_tt_1,35941,"BlueValentine, director: Derek Cianfrance",33000,141425,310,377,283,1246688.292,12140115.95,7.4
Drama,http://www.imdb.com/title/tt0468489/?ref_=fn_tt_tt_1,33734,"HalfNelson, director: Ryan Fleck",33000,70885,31,208,189,989862.1319,3815123.8,7.2
Drama,http://www.imdb.com/title/tt0266971/?ref_=fn_tt_tt_1,35294,"TheSlaughterRule, director: Alex Smith",33000,2004,12,17,32,777115.8491,20413.27913,6.1
Comedy Drama,http://www.imdb.com/title/tt0795461/?ref_=fn_tt_tt_1,34319,"ScaryMovie, director: Malcolm D. Lee",31000,50337,92,153,177,69940426.42,170965614.3,3.5
Thriller Drama,http://www.imdb.com/title/tt1270262/?ref_=fn_tt_tt_1,35561,"TheDevilsDouble, director: Lee Tamahori",31000,53977,93,167,125,23073397.66,1644749.099,7.1
Drama,http://www.imdb.com/title/tt2556874/?ref_=fn_tt_tt_1,35634,"Plastic, director: Julian Gilbey",31000,5865,7,29,12,10991047.68,0,6
Thriller Drama,http://www.imdb.com/title/tt2112277/?ref_=fn_tt_tt_1,33858,"Swelter, director: Keith Parmer",31000,1965,2,21,24,8792838.144,0,4.6
Drama,http://www.imdb.com/title/tt0479341/?ref_=fn_tt_tt_1,31325,"AdamResurrected, director: Paul Schrader",30000,3075,261,75,31,12865823.18,0,6.3
Drama,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,45223,"Titanic, director: James Cameron",29000,793059,0,315,2528,375512105,1236697113,7.7
Drama,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,29770,"TheGreatGatsby, director: Baz Luhrmann",29000,362912,1000,490,753,215512462.9,164289028.6,7.3
Adventure Action,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1,81115,"Inception, director: Christopher Nolan",29000,1468200,22000,642,2803,199470126.8,364751316.9,8.8
Thriller Drama,http://www.imdb.com/title/tt1663202/?ref_=fn_tt_tt_1,57108,"TheRevenant, director: Alejandro G. Iíë±íëírritu",29000,406020,0,556,1188,143778240,195578764.4,8.1
Drama,http://www.imdb.com/title/tt0338751/?ref_=fn_tt_tt_1,34582,"TheAviator, director: Martin Scorsese",29000,264318,17000,267,799,165664231.4,154532840.6,7.5
Drama,http://www.imdb.com/title/tt1853728/?ref_=fn_tt_tt_1,40978,"DjangoUnchained, director: Quentin Tarantino",29000,955174,16000,765,1193,117057295.6,190575638.2,8.5
Thriller Drama,http://www.imdb.com/title/tt0450259/?ref_=fn_tt_tt_1,33160,"BloodDiamond, director: Edward Zwick",29000,400292,380,166,657,141408876,81137466.08,8
Comedy Drama,http://www.imdb.com/title/tt0993846/?ref_=fn_tt_tt_1,46057,"TheWolfofWallStreet, director: Martin Scorsese",29000,780588,17000,606,1138,113427612.1,132597665.7,8.2
Drama,http://www.imdb.com/title/tt0217505/?ref_=fn_tt_tt_1,47657,"GangsofNewYork, director: Martin Scorsese",29000,314033,17000,233,1166,155584809.9,124677165.6,7.5
Thriller Drama,http://www.imdb.com/title/tt0407887/?ref_=fn_tt_tt_1,45648,"TheDeparted, director: Martin Scorsese",29000,873649,17000,352,2054,127267988.4,187203171.8,8.5
Thriller Drama,http://www.imdb.com/title/tt1130884/?ref_=fn_tt_tt_1,29585,"ShutterIsland, director: Martin Scorsese",29000,786092,17000,490,964,99735063.39,159592226.1,8.1
Thriller Drama,http://www.imdb.com/title/tt0758774/?ref_=fn_tt_tt_1,29824,"BodyofLies, director: Ridley Scott",29000,174248,0,238,263,89623324.25,52306384.07,7.1
Thriller Drama,http://www.imdb.com/title/tt0163978/?ref_=fn_tt_tt_1,29461,"TheBeach, director: Danny Boyle",29000,176169,0,118,548,85413173.51,67952327.57,6.6
Drama,http://www.imdb.com/title/tt0959337/?ref_=fn_tt_tt_1,53895,"RevolutionaryRoad, director: Sam Mendes",29000,152591,0,323,414,59748882.83,30420785.2,7.3
Adventure Action,http://www.imdb.com/title/tt0120744/?ref_=fn_tt_tt_1,29265,"TheManintheIronMask, director: Randall Wallace",29000,125219,130,83,244,63676955.79,103644559.4,6.4
Drama,http://www.imdb.com/title/tt1616195/?ref_=fn_tt_tt_1,36258,"JEdgar, director: Clint Eastwood",29000,102728,16000,392,279,42281095.19,45066851.58,6.6
Action,http://www.imdb.com/title/tt0114214/?ref_=fn_tt_tt_1,29743,"TheQuickandtheDead, director: Sam Raimi",29000,69197,0,63,216,63988704.66,37098371.36,6.4
Drama,http://www.imdb.com/title/tt0116999/?ref_=fn_tt_tt_1,63194,"MarvinsRoom, director: Jerry Zaks",29000,20163,4,45,71,44565776.62,24808227.42,6.7
Drama,http://www.imdb.com/title/tt0117509/?ref_=fn_tt_tt_1,33791,"RomeoJuliet, director: Baz Luhrmann",29000,167750,1000,106,506,28095815.7,89787887,6.8
Action,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,106759,"TheDarkKnightRises, director: Christopher Nolan",27000,1144337,22000,813,2701,321907563,524579510,8.5
Adventure Action,http://www.imdb.com/title/tt1392190/?ref_=fn_tt_tt_1,40025,"MadMaxFuryRoad, director: George Miller",27000,552503,750,739,1588,159753600,163626404.3,8.1
Comedy,http://www.imdb.com/title/tt1596350/?ref_=fn_tt_tt_1,29808,"ThisMeansWar, director: McG",27000,147641,368,241,238,76087242.17,64101501.02,6.3
